,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
8267,1612466634.7,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571668526896,-105.14030932757278,0.0015443757159673238,0.0,35.0,250.0,6.453738100054797,-6.0410979578137205,8.84,-0.7523853071795863,8360.0,275.75,1612466634.7
8268,1612466634.8,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.59457167130468,-105.14030932201722,0.00468158876387039,0.850289558246588,35.0,250.0,6.464601615454018,-6.029471448930604,8.84,-0.750585307179586,8360.0,275.75,1612466634.8
8269,1612466634.9,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.59457167408246,-105.14030931923945,0.00014677606918356458,4.51496124309058,35.0,250.0,6.459125993452319,-5.961861404017088,8.790000000000001,-0.7453853071795866,8360.0,275.75,1612466634.9
8270,1612466635.0,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.5945716712529,-105.14030932235814,0.0020076089957717304,5.567926180492856,35.0,250.0,6.325363314181038,-5.767436137244755,8.559996533503037,-0.7392937183968107,8360.0,275.75,1612466635.1
8271,1612466635.1,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571676808464,-105.14030932235814,0.0030887514319346476,0.0,35.0,250.0,6.325363314181038,-5.767436137244755,8.559996533503037,-0.7392937183968107,8360.0,275.75,1612466635.1
8272,1612466635.2,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571676808464,-105.14030932235814,0.0,0.0,35.0,250.0,6.367785118689952,-5.675580382849914,8.53,-0.7279853071795863,8360.0,275.75,1612466635.2
8273,1612466635.3,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571676808464,-105.14030932235814,0.006607747725670529,0.36285668075502553,35.0,250.0,6.4427780607766865,-5.6814356336734635,8.59,-0.7226853071795861,8360.0,275.75,1612466635.3
8274,1612466635.4,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571687919576,-105.14030931680256,0.0015443757159673238,0.0,35.0,250.0,6.5201221262370535,-5.669004097630732,8.64,-0.7156853071795866,8360.0,275.65000000000003,1612466635.4
8275,1612466635.5,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571679586245,-105.14030932235814,0.0035180963423623373,4.71238898038469,35.0,250.0,6.501515503935184,-5.614124700439993,8.59,-0.7122853071795865,8360.0,275.65000000000003,1612466635.5
8276,1612466635.6,0.0,239.972,15.4562,-0.906684,-859.4810000000001,20.7701,0.164785,-1.0,-0.901573,-877.9789999999999,20.1676,0.26324699999999995,-1.0,12304.0,14759.0,268.0,90.0,40.594571687919576,-105.14030932513592,0.0038421492595432176,5.126041343742174,35.0,250.0,6.39032311895268,-5.498060606739334,8.43,-0.7104853071795862,8360.0,275.65000000000003,1612466635.6
