,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
1980,1612298532.0,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.595306405008714,-105.14417405350737,0.002760629157595299,6.193342645089251,35.0,250.0,1.7703479074133743,-3.03658681882688,3.5149667454409954,-1.0429662462082951,8390.0,290.05,1612298532.5
1981,1612298532.1,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.595306413342044,-105.14417405350737,0.003303871917272761,5.920333602737334,35.0,250.0,1.7703479074133743,-3.03658681882688,3.5149667454409954,-1.0429662462082951,8390.0,290.05,1612298532.5
1982,1612298532.2,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.59530641056428,-105.14417405628515,0.005616349527047317,5.29470396767842,35.0,250.0,1.8279630068882664,-3.0315262237770613,3.54,-1.0281853071795866,8390.0,290.05,1612298532.6
1983,1612298532.3,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.59530641889762,-105.1441740646185,0.004779229784727843,6.035285599669375,35.0,250.0,1.8589454307338302,-3.082908024180062,3.6,-1.0281853071795866,8390.0,290.05,1612298532.8
1984,1612298532.4,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.59530641889762,-105.14417405906292,0.002808177601423017,0.9884839690856387,35.0,250.0,1.8589454307338302,-3.082908024180062,3.6,-1.0281853071795866,8390.0,290.05,1612298532.8
1985,1612298532.5,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.5953064216754,-105.14417405906292,0.0038782905448597298,5.633740624550501,35.0,250.0,1.8589454307338302,-3.082908024180062,3.6,-1.0281853071795866,8390.0,290.05,1612298532.9
1986,1612298532.6,0.0,240.01,30.4848,2.0323599999999997,5301.18,5.1626900000000004,-0.378161,-1.0,2.0334,5325.47,5.79363,-0.384884,-1.0,12317.0,14763.0,260.0,90.0,40.59530642445317,-105.1441740646185,0.010874036848805165,6.175131255648628,35.0,250.0,1.8365949827533126,-3.1252927931836267,3.6249877480896617,-1.039503238254471,8390.0,290.05,1612298533.0
1987,1612298532.7,0.0,239.988,30.4858,2.03091,5282.15,5.59744,-0.38548000000000004,-1.0,2.03175,5335.53,6.36932,-0.41304399999999997,-1.0,12307.0,14751.0,259.0,90.0,40.59530644111985,-105.14417406184073,0.0033038660945248497,5.920334172754678,35.0,250.0,1.8365949827533126,-3.1252927931836267,3.6249877480896617,-1.039503238254471,8390.0,290.05,1612298533.1
1988,1612298532.8,0.0,239.988,30.4858,2.03091,5282.15,5.59744,-0.38548000000000004,-1.0,2.03175,5335.53,6.36932,-0.41304399999999997,-1.0,12307.0,14751.0,259.0,90.0,40.595306430008726,-105.14417406739626,0.0015443757159673238,3.141592653589793,35.0,250.0,1.8117911066392334,-3.197216782826411,3.67488532752845,-1.0552390497941633,8390.0,290.05,1612298533.2
1989,1612298532.9,0.0,239.988,30.4858,2.03091,5282.15,5.59744,-0.38548000000000004,-1.0,2.03175,5335.53,6.36932,-0.41304399999999997,-1.0,12307.0,14751.0,259.0,90.0,40.59530643834207,-105.14417406184073,0.004775927741922242,6.078255812968768,35.0,250.0,1.747877498832551,-3.261123157606113,3.6999999999999997,-1.078785307179585,8390.0,290.05,1612298533.3
